Page,Section,Content Type,Content
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of graduate degrees? Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,Bullet Point,"Can you work while studying in the United States? With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What is distance education? Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What’s the difference between a college and a university? Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of undergraduate degrees? Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of graduate degrees? Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,Bullet Point,"Can you work while studying in the United States? With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What is distance education? Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What’s the difference between a college and a university? Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of undergraduate degrees? Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of graduate degrees? Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,Bullet Point,"Can you work while studying in the United States? With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What is distance education? Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What’s the difference between a college and a university? Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of undergraduate degrees? Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of graduate degrees? Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,Bullet Point,"Can you work while studying in the United States? With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What is distance education? Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What’s the difference between a college and a university? Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of undergraduate degrees? Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,Bullet Point,What are the different types of graduate degrees? Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,Bullet Point,"Can you work while studying in the United States? With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,Bullet Point,"What is distance education? Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,Statistic,20 - hours
faqs.php,Faq-Area Ptb-100,CTA Button,Text: Getting Started -> Link: #
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What’s the difference between a college and a university? | A: Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of undergraduate degrees? | A: Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of graduate degrees? | A: Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: Can you work while studying in the United States? | A: With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What is distance education? | A: Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What’s the difference between a college and a university? | A: Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of undergraduate degrees? | A: Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of graduate degrees? | A: Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: Can you work while studying in the United States? | A: With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What is distance education? | A: Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What’s the difference between a college and a university? | A: Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of undergraduate degrees? | A: Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of graduate degrees? | A: Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: Can you work while studying in the United States? | A: With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What is distance education? | A: Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What’s the difference between a college and a university? | A: Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of undergraduate degrees? | A: Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of graduate degrees? | A: Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: Can you work while studying in the United States? | A: With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What is distance education? | A: Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What’s the difference between a college and a university? | A: Colleges offer only undergraduate degrees while universities offer graduate degrees as well, but the terms are often used interchangeably."
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of undergraduate degrees? | A: Associate: a two-year program that either leads to a specific vocation or transitions to a bachelor program. Bachelor: a four or five-year program where students earn credits in a wide variety of courses.
faqs.php,Faq-Area Ptb-100,FAQ Item,Q: What are the different types of graduate degrees? | A: Masters: two-year degree providing additional specialization. Doctorate: five to eight-year program certifying the student as a trained research scholar and/or professor.
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: Can you work while studying in the United States? | A: With permission of the International Student Office, international students may work on campus up to 20 hours/week their first year and can apply to work off-campus in subsequent years."
faqs.php,Faq-Area Ptb-100,FAQ Item,"Q: What is distance education? | A: Distance education occurs when a student and an instructor are in different places. Learning occurs by mail, telephone, internet, or by other means."
faqs.php,Faq-Area Ptb-100,Microcopy / Note,Usage Guides
faqs.php,Faq-Area Ptb-100,Microcopy / Note,General Guide
faqs.php,Faq-Area Ptb-100,Microcopy / Note,Sales Question
faqs.php,Faq-Area Ptb-100,Microcopy / Note,Getting Started
faqs.php,Faq-Area Ptb-100,Microcopy / Note,Pricing & Planes
faqs.php,Become-Instructor-Partner-Area,Heading (h2),Become an Instructor
faqs.php,Become-Instructor-Partner-Area,Heading (h2),Become a Partner
faqs.php,Become-Instructor-Partner-Area,Paragraph,"Choose from hundreds of free courses, or get a degree or certificate at a breakthrough price. Learn at your own pace."
faqs.php,Become-Instructor-Partner-Area,Paragraph,"Choose from hundreds of free courses, or get a degree or certificate at a breakthrough price. Learn at your own pace."
faqs.php,Become-Instructor-Partner-Area,CTA Button,Text: Apply Now -> Link: login.html
faqs.php,Become-Instructor-Partner-Area,CTA Button,Text: Contact Us -> Link: login.html
faqs.php,Become-Instructor-Partner-Area,Image,Filename: become-instructor.jpg | Alt: image | Path: assets/img/become-instructor.jpg
faqs.php,Become-Instructor-Partner-Area,Image,Filename: become-partner.jpg | Alt: image | Path: assets/img/become-partner.jpg
faqs.php,Become-Instructor-Partner-Area,Microcopy / Note,Apply Now
faqs.php,Become-Instructor-Partner-Area,Microcopy / Note,Contact Us
human-resource.php,SEO Meta,Meta Title,ProFRONTIER - International Online Academy - HR Courses
human-resource.php,SEO Meta,Meta Description,"ProFRONTIER provide online training for IELTS, OET and PTE exams as well as Professional English communication skills. Our courses are designed to provide you with the best possible preparation for your exams, as well as to help you improve your English language skills. ProFRONTIER use a combination of high-quality online resources and experienced teachers to ensure that you get the most out of your learning. Our courses are tailored to meet your individual needs, so that you can reach your desired results."
human-resource.php,SEO Meta,Canonical URL,https://www.ProFRONTIERonlinetraining.com/human-resource.php
human-resource.php,Courses-Area Ptb-100,Heading (h2),Human Resource Courses
human-resource.php,Courses-Area Ptb-100,Heading (h3),Human Resources Certification Institute (HRCI)
human-resource.php,Courses-Area Ptb-100,Heading (h3),Society for Human Resource Management (SHRM)
human-resource.php,Courses-Area Ptb-100,Subheading,2+ Courses
human-resource.php,Courses-Area Ptb-100,Statistic,1 - rating
human-resource.php,Courses-Area Ptb-100,Statistic,2 - rating
human-resource.php,Courses-Area Ptb-100,Card Content,"Title: Human Resources Certification Institute (HRCI) | Desc: HRCI stands for Human Resources Certification Institute, which is known as the premier credentialing and learning organization dedicated to the advancement and support of human resources professionals. | Image: assets\img\courses1\hrci.jpeg | Link: hrci.php"
human-resource.php,Courses-Area Ptb-100,Card Content,"Title: Society for Human Resource Management (SHRM) | Desc: SHRM promotes the role of HR as a profession and provides education, certification, and networking to its members, while lobbying Congress on issues pertinent to labor management. | Image: assets\img\courses1\shrm.jpeg | Link: shrm.php"
human-resource.php,Courses-Area Ptb-100,Image,Filename: assets\img\courses1\hrci.jpeg | Alt: image | Path: assets\img\courses1\hrci.jpeg
human-resource.php,Courses-Area Ptb-100,Image,Filename: assets\img\courses1\shrm.jpeg | Alt: image | Path: assets\img\courses1\shrm.jpeg
human-resource.php,Courses-Area Ptb-100,Microcopy / Note,2+ Courses
ms-excel.php,SEO Meta,Meta Title,ProFRONTIER - International Online Academy - MS Excel
ms-excel.php,SEO Meta,Meta Description,"ProFRONTIER provide online training for IELTS, OET and PTE exams as well as Professional English communication skills. Our courses are designed to provide you with the best possible preparation for your exams, as well as to help you improve your English language skills. ProFRONTIER use a combination of high-quality online resources and experienced teachers to ensure that you get the most out of your learning. Our courses are tailored to meet your individual needs, so that you can reach your desired results."
ms-excel.php,SEO Meta,Canonical URL,https://www.ProFRONTIERonlinetraining.com/ms-excel.php
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Heading (h1),Microsoft Excel
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Heading (h1),Overview
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Heading (h2),Benefits
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Heading (h5),1.Increased Productivity and Efficiency:
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Heading (h5),2.Versatility and Transferability of Skills:
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Heading (h5),3.Competitive Advantage in the Job Market:
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Heading (h5),4.Career Advancement Opportunities:
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Heading (h5),5.Continuous Learning and Professional Development:
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Microsoft Excel is a spreadsheet developed by Microsoft for Windows, macOS, Android and iOS. It features calculation or computation capabilities, graphing tools, pivot tables, and a macro programming language called Visual Basic for Applications."
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Microsoft Excel is a widely-used spreadsheet software application, part of the Microsoft Office suite.The Excel course covers a comprehensive range of features, functions, and formulas to help users efficiently analyze, manage, and present data.Topics include spreadsheet formatting, data manipulation, pivot tables, advanced formulas, data visualization, and automation through macros and VBA (Visual Basic for Applications).The course caters to users at all levels, from beginners to advanced, and can be tailored to specific industries or job roles."
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"• Mastering Excel enables users to perform complex data analysis, reporting, and modeling tasks more quickly and accurately."
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,• Improved productivity can lead to better decision-making and enhanced performance in various job roles.
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"• Excel skills are highly valuable across a wide range of industries and job functions, from finance and accounting to marketing and operations."
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,• The skills acquired in this course can be applied in various professional settings and are easily transferable.
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"• Proficiency in Microsoft Excel is a sought-after skill by employers, as it demonstrates a candidate's ability to work with data and generate valuable insights."
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,• Completing an Excel course can significantly enhance your resume and make you a more attractive candidate for job opportunities.
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"• Advanced Excel skills can open the door to more specialized and higher-paying roles, such as data analyst, financial analyst, or business intelligence specialist."
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,• Continued skill development in Excel can lead to greater responsibilities and promotion potential within an organization.
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"• The Excel software is constantly evolving, with new features and functionalities being introduced regularly."
ms-excel.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,• Ongoing training and upskilling in Excel can help professionals stay ahead of the curve and maintain their value in the job market
chinese.php,SEO Meta,Meta Title,ProFRONTIER - International Online Academy - Chinese
chinese.php,SEO Meta,Meta Description,"ProFRONTIER provide online training for IELTS, OET and PTE exams as well as Professional English communication skills. Our courses are designed to provide you with the best possible preparation for your exams, as well as to help you improve your English language skills. ProFRONTIER use a combination of high-quality online resources and experienced teachers to ensure that you get the most out of your learning. Our courses are tailored to meet your individual needs, so that you can reach your desired results."
chinese.php,SEO Meta,Canonical URL,https://www.ProFRONTIERonlinetraining.com/chinese.php
chinese.php,Courses-Details-Area Pt-100 Pb-70,Heading (h1),Chinese Language
chinese.php,Courses-Details-Area Pt-100 Pb-70,Heading (h1),Overview
chinese.php,Courses-Details-Area Pt-100 Pb-70,Heading (h3),Chinese Language
chinese.php,Courses-Details-Area Pt-100 Pb-70,Heading (h3),Learning Benefits
chinese.php,Courses-Details-Area Pt-100 Pb-70,Heading (h3),Career Benefits
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,Learn Chinese from the comfort of your home with top-quality online lessons in virtual classes with dedicated and experienced teachers.
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Our Chinese Language Course is designed to help you master Mandarin, focusing on both spoken and written forms. You will learn essential vocabulary, grammar, and conversational skills to communicate effectively. After completing this course, you will be able to write various texts and engage in meaningful conversations in Chinese. This course also prepares you for important Chinese language proficiency exams like HSK and TOCFL. This program includes accent training to improve your pronunciation and tone accuracy, ensuring you sound natural and fluent."
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Beginner Level (HSK 1 & 2): Learn basic vocabulary, greetings, numbers, common phrases, and foundational grammar to hold simple conversations."
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Intermediate Level (HSK 3 & 4): Enhance your ability to discuss everyday topics, understand structured texts, and communicate in diverse situations with better fluency."
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Advanced Level (HSK 5 & 6): Develop advanced skills in reading, writing, and speaking. Gain proficiency in complex grammar, idiomatic expressions, and cultural nuances. This level prepares you to discuss abstract concepts and technical topics fluently."
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Engage in conversations about daily life, travel, and professional topics"
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Read and comprehend Chinese texts, including newspapers and literature"
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,Understand and use Chinese idiomatic expressions
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,Develop fluency and accuracy in pronunciation
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,Enhance cultural understanding and appreciation
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,"Unlock global career opportunities in industries like trade, technology, and education"
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,Stand out with a certification in Mandarin Chinese proficiency
chinese.php,Courses-Details-Area Pt-100 Pb-70,Paragraph,Gain a competitive edge in international job markets
